legacy_id,kode,name,kenaikan_harga
222,400900,"SELANG METAGOMA",0
223,400900,"SELANG NONE",0
224,830700,"SELANG PAPS",0
225,830700,"SELANG RIFENG",0
226,820200,"TOOL ASIAN FIRST",0
227,820200,"TOOL CAMPING GAS",0
228,820200,"TOOL EAST BRAND",0
229,820200,"TOOL FUJI",0
230,820200,"TOOL GLOOR",0
231,848100,"TOOL GMT",0
232,820200,"TOOL HICOOK",0
233,820200,"TOOL HS",0
234,820200,"TOOL IMPERIAL",0
235,820200,"TOOL KOVET",0
236,820200,"TOOL KYOWA",0
237,820200,"TOOL NONE",0
238,820200,"TOOL NURGAS",0
239,820200,"TOOL PAPS",0
240,820200,"TOOL PM",0
241,820200,"TOOL PROHEX",0
242,820200,"TOOL RED ANT",0
243,820200,"TOOL RIFENG",0
244,820200,"TOOL ROBINAIR",0
245,820200,"TOOL SELERY",0
246,820200,"TOOL SPOT",0
247,820200,"TOOL STARWARS",0
248,820200,"TOOL YAMATO",0
249,848100,"VALVE ALCO",0
250,848100,"VALVE AMICO",0
251,848100,"VALVE BR",0
252,848100,"VALVE BURKET",0
253,848100,"VALVE CASTEL",0
254,848100,"VALVE COMAP",0
255,848100,"VALVE DN",0
256,848100,"VALVE EMERSON",0
257,848100,"VALVE FIREKING",0
258,848100,"VALVE GALA",0
259,848100,"VALVE GMT",0
260,848100,"VALVE HATO",0
261,848100,"VALVE HONEYWELL",0
262,848100,"VALVE HS",0
263,848100,"VALVE JETS",0
264,848100,"VALVE JOKWANG",0
265,848100,"VALVE K BRAND",0
266,848100,"VALVE KITZ",0
267,848100,"VALVE MA",0
268,848100,"VALVE MITZU",0
269,848100,"VALVE MIZU",0
270,848100,"VALVE NDV",0
271,848100,"VALVE NONE",0
272,848100,"VALVE ONDA",0
273,848100,"VALVE PVC",0
274,848100,"VALVE RIFENG",0
275,848100,"VALVE SAMYANG",0
276,848100,"VALVE SATA",0
277,848100,"VALVE SC",0
278,848100,"VALVE SHOWA",0
279,848100,"VALVE SMC",0
280,848100,"VALVE SOCL",0
281,848100,"VALVE SW",0
282,848100,"VALVE TATZU",0
283,848100,"VALVE TESTER",0
284,848100,"VALVE TL",0
285,848100,"VALVE TOZEN",0
286,848100,"VALVE TW",0
287,848100,"VALVE UNI-D",0
288,848100,"VALVE watts",0
289,391700,"VALVE WAVIN",0
290,848100,"VALVE WIKA",0
291,848100,"VALVE YORK",0
292,848100,"VALVE YUTA",0
293,848100,"VALVE ZEKI",0
294,848100,tatz,0
295,830700,"DUCTING PROFLEX",0
296,842100,"REGULATOR STARMED",0
297,903200,"PRESSURE SWITCH TIVAL",0
298,741200,"FITTING PNEUMATIC",0
300,741100,"PIPA ROLL BRASSCO",0
301,741100,"PIPA SET BRASSCO",0
302,741100,"SAMBUNGAN TEMBAGA STD",0
303,830700,"FLEXIBLE DUCT ALUMINIUM NON",0
304,000000,"PERLENGKAPAN DAN PERKAKAS NON",0
305,902600,"MANOMETER GMT NON",0
306,848100,"VALVE G M T",0
307,741100,"PIPA TEMBAGA",0
308,902600,"ALAT UKUR",0
309,000000,REFERIGERASI,0
310,AA,AA,0
311,ALFA,"Pipa Tembaga ALFA",0
__fallback__,LEGACY-UNCAT,"Legacy Uncategorized",0
