target_sku,difference_reason,current_sku,product_name,product_category_id,uom_id,cost_price,sell_price,item_value,tipe_pajak,pajak,jumlah_kelipatan_gudang_besar,jumlah_jual_kategori_banyak,kode_merk,biaya,qty_available,qty_reserved,qty_min
001002035120,"category,cost,bulk_sell_qty",CAB-001002035120,"COPPER TUBE ASTM B280 1 3/8'' X 1.20MM X 5.8M",517,9,0.00,1567300.00,0.00,"Non Pajak",0.00,1,1,BCO,1214583.00,1.00,3.00,1.00
001002035120,"category,cost,bulk_sell_qty",CAB-001002035120-DUP2-R14039,"COPPER TUBE ASTM B280 1 3/8 X 1.20MM X 5.8M",198,9,1214583.00,1567300.00,0.00,"Non Pajak",0.00,1,10000,BCO,1214583.00,156.00,0.00,1.00
001002035140,"category,cost,bulk_sell_qty",CAB-001002035140,"COPPER TUBE ASTM B280 TYPE L 1 3/8'' X 1.40MM X 5.8M",517,9,0.00,1780300.00,0.00,"Non Pajak",0.00,1,1,BCO,1333750.00,0.00,0.00,1.00
001002035140,"category,cost,bulk_sell_qty",CAB-001002035140-DUP2-R14194,"COPPER TUBE ASTM B280 TYPE L 1 3/8 X 1.40MM X 5.8M ---",198,9,1333750.00,1780300.00,0.00,"Non Pajak",0.00,1,10000,BCO,1333750.00,2.00,0.00,1.00
