legacy_satuan,name,abbreviation
1,1,1
10,10,10
B,B,B
BATANG,BATANG,BATANG
BH,BH,BH
bh],bh],BH]
BKS,BKS,BKS
BOX,BOX,BOX
BTG,BTG,BTG
BTL,BTL,BTL
buah,buah,BUAH
can,can,CAN
cm,cm,CM
DRUM,DRUM,DRUM
DUS,DUS,DUS
GLN,GLN,GLN
HB,HB,HB
KALENG,KALENG,KALENG
KG,KG,KG
KLG,KLG,KLG
LBR,LBR,LBR
LEMBAR,LEMBAR,LEMBAR
lembaran,lembaran,LEMBARAN
M,M,M
METER,METER,METER
mtr,mtr,MTR
NONE,NONE,NONE
PCS,PCS,PCS
PEL,PEL,PEL
ROL,ROL,ROL
ROLL,ROLL,ROLL
SE,SE,SE
SET,SET,SET
TBG,TBG,TBG
TUBE,TUBE,TUBE
UNIT,UNIT,UNIT
