target_sku,difference_reason,row_count,candidate_skus,candidate_names,candidate_category_ids,candidate_biaya_values,total_qty_available,total_qty_reserved,recommended_canonical_sku,recommended_category_id,recommended_biaya,approval_status,approved_canonical_sku,approved_category_id,approved_biaya,notes
001005060913,"category,cost,biaya,qty_min",2,"CAB-001005060913 || CAB-001005060913-DUP2-R16899","PIPA SET 1/4 T0.61MM + 3/8 T0.61MM X 15M || PIPA SET 1/4 T0.61MM + 3/8 T0.61MM X 15M","640 || 7","899820.00 || 883976.00",1.00,2.00,CAB-001005060913,640,899820.00,,,,,
001005060914,"category,cost,biaya,qty_min",2,"CAB-001005060914 || CAB-001005060914-DUP2-R16905","PIPA SET 1/4 T0.76MM + 3/8 T0.81MM X 15M || PIPA SET 1/4 T0.76MM + 3/8 T0.81MM X 15M","640 || 7","930783.00 || 1010666.00",0.00,0.00,CAB-001005060914,640,930783.00,,,,,
001005061613,"category,cost,biaya,qty_min",2,"CAB-001005061613 || CAB-001005061613-DUP2-R16901","PIPA SET 1/4 T0.61mm + 5/8 T0.71mm X 15m || PIPA SET 1/4 T0.61mm + 5/8 T0.71mm X 15m","517 || 198","1364850.00 || 1100000.00",1.00,1.00,CAB-001005061613,517,1364850.00,,,,,
001005131934,"category,cost,biaya,qty_min",2,"CAB-001005131934 || CAB-001005131934-DUP2-R16891","PIPA SET 1/2 T0.81MM + 3/4 T0.89MM x 30M || PIPA SET 1/2 T0.81MM + 3/4 T0.89MM x 30M","640 || 7","3081955.00 || 3870625.00",0.00,0.00,CAB-001005131934,640,3081955.00,,,,,
